Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
199,1764879990355,2146,2119,1903,800,2029,799,1862,803,2538,2470,2472,2492,2123,800,1056,1878,1650,800,2276,800,26.3157901763916,25,36.3636360168457,35,36.842105865478516,20,45.45454788208008,27.272727966308594,42.105262756347656,40,33.333335876464844,40.90909194946289,38.095237731933594,25,54.54545593261719,26.3157901763916,33.333335876464844,31.81818199157715,35,25,0,2503.4860229492188,2263.852783203125,0,33410260992,0,3908960256,0
199,1764879990555,2146,2119,1903,800,2029,799,1862,803,2538,2470,2472,2492,2123,800,1056,1878,1650,800,2276,800,48.71794891357422,39.47368621826172,52.6315803527832,35,50,33.333335876464844,55,34.21052551269531,61.5384635925293,58.974361419677734,60.000003814697266,58.974361419677734,51.28205490112305,43.24324417114258,51.28205490112305,40,52.499996185302734,33.333335876464844,52.499996185302734,35.897438049316406,0,2505.9515991210938,2266.0255737304688,0,33410260992,0,3910021120,0
199,1764879990755,2146,2119,1903,800,2029,799,1862,803,2538,2470,2472,2492,2123,800,1056,1878,1650,800,2276,800,31.57894515991211,30.000001907348633,31.57894515991211,10.526315689086914,35,15.789472579956055,26.3157901763916,23.809524536132813,45.45454788208008,42.105262756347656,40,33.333335876464844,36.3636360168457,35,40,15.789472579956055,38.095237731933594,20,35,20,0,2510.2154541015625,2269.9962768554688,0,33410260992,0,3906887680,0
199,1764879990955,2146,2119,1903,800,2029,799,1862,803,2538,2470,2472,2492,2123,800,1056,1878,1650,800,2276,800,31.57894515991211,30.000001907348633,31.57894515991211,10.526315689086914,35,15.789472579956055,26.3157901763916,23.809524536132813,45.45454788208008,42.105262756347656,40,33.333335876464844,36.3636360168457,35,40,15.789472579956055,38.095237731933594,20,35,20,0,2519.5507202148438,2279.0150146484375,0,33410260992,0,3982610432,0
199,1764879991155,2146,2119,1903,800,2029,799,1862,803,2538,2470,2472,2492,2123,800,1056,1878,1650,800,2276,800,47.5,41.46341323852539,55,36.585365295410156,48.71794891357422,35,46.153846740722656,37.5,57.894737243652344,55.26315689086914,55.26315689086914,55,48.71794891357422,39.02438735961914,47.36842346191406,40,47.36842346191406,35,48.780487060546875,35.897438049316406,0,2523.59130859375,2282.765380859375,0,33410260992,0,3989319680,0
199,1764879991355,2146,2119,1903,800,2029,799,1862,803,2538,2470,2472,2492,2123,800,1056,1878,1650,800,2276,800,50,44.4444465637207,52.38095474243164,35,55,33.333335876464844,55,40,63.15789031982422,61.904762268066406,60.000003814697266,52.6315803527832,52.6315803527832,40,57.142860412597656,35,52.6315803527832,36.842105865478516,55,38.095237731933594,0,2526.1036987304688,2284.984375,0,33410260992,0,3989319680,0
199,1764879991555,2146,2119,1903,800,2029,799,1862,803,2538,2470,2472,2492,2123,800,1056,1878,1650,800,2276,800,50,44.4444465637207,52.38095474243164,35,55,33.333335876464844,55,40,63.15789031982422,61.904762268066406,60.000003814697266,52.6315803527832,52.6315803527832,40,57.142860412597656,35,52.6315803527832,36.842105865478516,55,38.095237731933594,0,2534.2444458007813,2292.8235473632813,0,33410260992,0,3990822912,0
199,1764879991755,2146,2119,1903,800,2029,799,1862,803,2538,2470,2472,2492,2123,800,1056,1878,1650,800,2276,800,31.57894515991211,26.3157901763916,36.842105865478516,27.272727966308594,31.57894515991211,20,36.842105865478516,20,42.105262756347656,45,33.333335876464844,38.095237731933594,30.000001907348633,40,31.57894515991211,20,33.333335876464844,26.3157901763916,40.90909194946289,25,0,2537.4973754882813,2295.78466796875,0,33410260992,0,3997532160,0
199,1764879991955,2146,2119,1903,800,2029,799,1862,803,2538,2470,2472,2492,2123,800,1056,1878,1650,800,2276,800,31.57894515991211,26.3157901763916,36.842105865478516,27.272727966308594,31.57894515991211,20,36.842105865478516,20,42.105262756347656,45,33.333335876464844,38.095237731933594,30.000001907348633,40,31.57894515991211,20,33.333335876464844,26.3157901763916,40.90909194946289,25,0,2544.346923828125,2302.3331909179688,0,33410260992,0,3985727488,0
199,1764879992155,2146,2119,1903,800,2029,799,1862,803,2538,2470,2472,2492,2123,800,1056,1878,1650,800,2276,800,35.897438049316406,27.02702522277832,37.5,34.14634323120117,43.589744567871094,32.5,41.46341323852539,25,47.619049072265625,43.589744567871094,45.238094329833984,41.02564239501953,41.02564239501953,25,48.780487060546875,27.5,41.02564239501953,26.829269409179688,38.46154022216797,27.5,0,2552.1739501953125,2309.8649291992188,0,33410260992,0,3986399232,0
